Brand,Material Score,Supply Chain Transparency Score,Certifications Score,Carbon Footprint Score,Packaging Score,Labor Practices Score,Water Usage Score,Overall Sustainability Score,Country of Origin,Price Range,Product Category,Year Established
Abercrombie & Fitch,50,45,40,55,45,50,60,49,USA,Mid,Brand,1950
Hollister,50,45,40,55,45,50,60,49,USA,Mid,Brand,1955
Aeropostale,15,15,10,25,15,20,30,18,USA,Budget,Brand,1960
Ann Taylor,50,45,40,55,45,50,60,49,USA,Mid,Brand,1965
Talbots,50,45,40,55,45,50,60,49,USA,Mid,Brand,1970
Brooks Brothers,50,45,40,55,45,50,60,49,USA,Mid,Brand,1975
J. Crew,50,45,40,55,45,50,60,49,USA,Mid,Brand,1980
Nordstrom,50,45,40,55,45,50,60,49,USA,Mid,Brand,1985
Old Navy,15,15,10,25,15,20,30,18,USA,Budget,Brand,1990
Kate Spade,40,35,50,45,35,30,50,40,USA,Luxury,Brand,1995
Tory Burch,40,35,50,45,35,30,50,40,USA,Luxury,Brand,2000
Ralph Lauren,50,45,40,55,45,50,60,49,USA,Premium,Brand,2005
Tommy Hilfiger,50,45,40,55,45,50,60,49,USA,Mid,Brand,2010
Michael Kors,40,35,50,45,35,30,50,40,USA,Luxury,Brand,2015
Coach,40,35,50,45,35,30,50,40,USA,Luxury,Brand,1950
Juicy Couture,40,35,50,45,35,30,50,40,USA,Luxury,Brand,1955
Express,50,45,40,55,45,50,60,49,USA,Mid,Brand,1960
UGG,50,45,40,55,45,50,60,49,USA,Mid,Brand,1965
Lane Bryant,50,45,40,55,45,50,60,49,USA,Mid,Brand,1970
Kohl's,50,45,40,55,45,50,60,49,USA,Mid,Brand,1975
American Apparel,15,15,10,25,15,20,30,18,USA,Budget,Brand,1980
Liz Claiborne,50,45,40,55,45,50,60,49,USA,Mid,Brand,1985
Karen Millen,40,35,50,45,35,30,50,40,UK,Luxury,Brand,1990
Fossil,50,45,40,55,45,50,60,49,USA,Mid,Brand,1995
Steve Madden,50,45,40,55,45,50,60,49,USA,Mid,Brand,2000
Nine West,50,45,40,55,45,50,60,49,USA,Mid,Brand,2005
Guess,50,45,40,55,45,50,60,49,USA,Mid,Brand,2010
Lauren Ralph Lauren,50,45,40,55,45,50,60,49,USA,Premium,Brand,2015
The Limited,50,45,40,55,45,50,60,49,USA,Mid,Brand,1950
Abercrombie Kids,50,45,40,55,45,50,60,49,USA,Mid,Brand,1955
H&M Conscious,15,15,10,25,15,20,30,18,Sweden,Budget,Brand,1960
Zara Women,15,15,10,25,15,20,30,18,Spain,Budget,Brand,1965
Forever 21+,15,15,10,25,15,20,30,18,USA,Budget,Brand,1970
Shein Fashion,15,15,10,25,15,20,30,18,China,Budget,Brand,1975
Boohoo,15,15,10,25,15,20,30,18,UK,Budget,Brand,1980
ASOS,15,15,10,25,15,20,30,18,UK,Budget,Brand,1985
Primark,15,15,10,25,15,20,30,18,Ireland,Budget,Brand,1990
Mango,15,15,10,25,15,20,30,18,Spain,Budget,Brand,1995
New Look,15,15,10,25,15,20,30,18,UK,Budget,Brand,2000
C&A,15,15,10,25,15,20,30,18,Germany/Netherlands,Budget,Brand,2005
Uniqlo,45,40,35,55,40,45,55,45,Japan,Budget/Mid,Brand,2010
Marks & Spencer,50,45,40,55,45,50,60,49,UK,Mid,Brand,2015
Next,50,45,40,55,45,50,60,49,UK,Mid,Brand,1950
Matalan,15,15,10,25,15,20,30,18,UK,Budget,Brand,1955
Esprit,50,45,40,55,45,50,60,49,Germany,Mid,Brand,1960
Mexx,50,45,40,55,45,50,60,49,Netherlands,Mid,Brand,1965
Topshop,50,45,40,55,45,50,60,49,UK,Mid,Brand,1970
Dorothy Perkins,50,45,40,55,45,50,60,49,UK,Mid,Brand,1975
Wallis,50,45,40,55,45,50,60,49,UK,Mid,Brand,1980
Oasis,15,15,10,25,15,20,30,18,UK,Budget,Brand,1985
Burton,50,45,40,55,45,50,60,49,UK,Mid,Brand,1990
Monsoon,50,45,40,55,45,50,60,49,UK,Mid,Brand,1995
River Island,15,15,10,25,15,20,30,18,UK,Budget,Brand,2000
Miss Selfridge,50,45,40,55,45,50,60,49,UK,Mid,Brand,2005
Evans,50,45,40,55,45,50,60,49,UK,Mid,Brand,2010
Plus Two,50,45,40,55,45,50,60,49,UK,Mid,Brand,2015
Littlewoods,50,45,40,55,45,50,60,49,UK,Mid,Brand,1950
BHS,50,45,40,55,45,50,60,49,UK,Mid,Brand,1955
Debenhams,50,45,40,55,45,50,60,49,UK,Mid,Brand,1960
John Lewis,50,45,40,55,45,50,60,49,UK,Mid,Brand,1965
Peter Jones,50,45,40,55,45,50,60,49,UK,Mid,Brand,1970
Harrods,50,45,40,55,45,50,60,49,UK,Mid,Brand,1975
Selfridges,50,45,40,55,45,50,60,49,UK,Mid,Brand,1980
Liberty,50,45,40,55,45,50,60,49,UK,Mid,Brand,1985
Fenwick,50,45,40,55,45,50,60,49,UK,Mid,Brand,1990
Harvey Nichols,40,35,50,45,35,30,50,40,UK,Luxury,Brand,1995
Fortnum & Mason,40,35,50,45,35,30,50,40,UK,Luxury,Brand,2000
